"File","TSLines","HTMLLines","Methods","CRUDHits"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\suppliers\suppliers.component.ts","192","147","11","38"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\inventory\inventory.component.ts","284","148","18","37"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\app.routes.ts","23","0","0","13"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\billing\billing.ts","272","368","20","10"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\orders\orders.component.ts","323","68","16","10"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\accounts\accounts.component.ts","282","377","6","10"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\dashboard\dashboard.ts","227","290","11","10"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\services\supplier.service.ts","25","0","4","8"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\auth\login\login.ts","187","171","4","7"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\services\inventory.service.ts","39","0","5","7"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\auth\signup\signup.ts","74","136","4","4"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\services\api.service.ts","44","0","1","4"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\app.spec.ts","23","0","6","3"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\auth\auth.service.ts","32","0","6","3"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\pages\suppliers\components\supplier-form\supplier-form.spec.ts","22","0","4","2"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\layout\mainwindow\mainwindow.spec.ts","22","0","4","2"
"D:\AngularMigration\Angular20\MediCore-Pharmacy-System\MediCore-Pharmacy-System\src\app\layout\sidebar\sidebar.spec.ts","22","0","4","2"
